Student Number,Number of Particles,Weighted Average Position RMSE,Weighted Average Orientation RMSE,Highest Position RMSE,Highest Orientation RMSE,Average Position RMSE,Average Orientation RMSE
1,200,0.18,0.151,0.176,0.15,0.207,0.157
1,500,0.149,0.118,0.156,0.115,0.158,0.126
1,750,0.146,0.091,0.155,0.09,0.155,0.101
1,1000,0.148,0.085,0.153,0.082,0.16,0.095
1,2000,0.152,0.085,0.157,0.084,0.161,0.094
1,3000,0.143,0.083,0.15,0.082,0.15,0.093
1,4000,0.151,0.082,0.156,0.083,0.159,0.091
1,5000,0.142,0.081,0.152,0.081,0.148,0.091
2,200,0.166,0.143,0.174,0.135,0.191,0.156
2,500,0.174,0.131,0.176,0.122,0.197,0.146
2,750,0.189,0.101,0.188,0.09,0.212,0.119
2,1000,0.154,0.1,0.165,0.089,0.17,0.119
2,2000,0.159,0.117,0.166,0.103,0.183,0.133
2,3000,0.158,0.108,0.162,0.098,0.179,0.124
2,4000,0.148,0.098,0.158,0.088,0.167,0.114
2,5000,0.144,0.092,0.155,0.08,0.16,0.11
3,200,0.218,0.154,0.219,0.151,0.25,0.168
3,500,0.14,0.097,0.143,0.1,0.157,0.108
3,750,0.136,0.086,0.137,0.09,0.152,0.096
3,1000,0.123,0.089,0.135,0.089,0.132,0.098
3,2000,0.136,0.085,0.136,0.088,0.152,0.095
3,3000,0.135,0.086,0.14,0.09,0.148,0.095
3,4000,0.128,0.083,0.135,0.087,0.139,0.092
3,5000,0.133,0.082,0.136,0.086,0.146,0.09
4,200,0.236,0.117,0.24,0.11,0.271,0.136
4,500,0.146,0.102,0.148,0.094,0.163,0.122
4,750,0.146,0.081,0.15,0.076,0.158,0.103
4,1000,0.161,0.079,0.159,0.075,0.178,0.1
4,2000,0.135,0.074,0.14,0.072,0.142,0.095
4,3000,0.143,0.075,0.146,0.07,0.152,0.096
4,4000,0.136,0.073,0.143,0.07,0.143,0.093
4,5000,0.136,0.073,0.144,0.069,0.141,0.094
5,200,0.171,0.119,0.165,0.124,0.195,0.121
5,500,0.18,0.145,0.178,0.145,0.197,0.148
5,750,0.159,0.116,0.16,0.123,0.173,0.117
5,1000,0.166,0.131,0.162,0.136,0.187,0.131
5,2000,0.163,0.118,0.162,0.125,0.178,0.118
5,3000,0.159,0.119,0.156,0.124,0.175,0.119
5,4000,0.162,0.119,0.159,0.125,0.178,0.119
5,5000,0.158,0.118,0.158,0.125,0.173,0.118
6,200,0.165,0.134,0.169,0.129,0.191,0.141
6,500,0.152,0.106,0.153,0.116,0.171,0.106
6,750,0.156,0.169,0.153,0.171,0.181,0.171
6,1000,0.146,0.122,0.144,0.124,0.168,0.124
6,2000,0.137,0.122,0.14,0.126,0.155,0.124
6,3000,0.147,0.156,0.146,0.158,0.17,0.158
6,4000,0.149,0.121,0.148,0.126,0.168,0.122
6,5000,0.141,0.12,0.145,0.122,0.158,0.121
7,200,0.155,0.111,0.152,0.113,0.181,0.116
7,500,0.156,0.102,0.153,0.109,0.178,0.104
7,750,0.153,0.112,0.151,0.12,0.173,0.113
7,1000,0.152,0.105,0.147,0.111,0.173,0.106
7,2000,0.147,0.104,0.148,0.109,0.163,0.106
7,3000,0.145,0.109,0.146,0.116,0.161,0.11
7,4000,0.142,0.104,0.143,0.112,0.159,0.105
7,5000,0.145,0.114,0.144,0.118,0.162,0.116
